i,Naive,D&C,Dynamic
10,157,52,14
20,749,91,20
30,3208,138,29
40,4138,193,35
50,12992,344,49
60,15608,318,55
70,35470,380,63
80,100769,437,237
90,136247,471,88
100,88908,516,86
110,192899,572,94
120,73195,613,96
130,174411,666,107
140,189785,744,127
150,272472,803,125
160,231069,884,140
170,463322,940,154
180,289532,1047,150
190,464100,1034,157
200,449833,1196,168
210,563699,1209,187
220,734173,1225,187
230,761093,1287,194
240,795657,1316,194
250,463869,1522,208
260,883824,1485,233
270,159469,1485,236
280,21591,1650,237
290,186042,2096,278
300,345927,1696,252
310,19576,1876,441
320,644762,1783,283
330,921069,1934,316
340,29993,1952,283
350,788555,2072,326
360,706902,2793,320
370,182831,2099,307
380,99929,2248,342
390,981115,2264,339
400,666603,2521,366
410,706154,2306,344
420,350021,2546,368
430,829933,2492,505
440,461672,3009,518
450,250189,2576,446
460,137295,2666,415
470,485024,2891,451
480,991268,2843,432
490,367461,3462,536
500,657329,2880,434
